ensayo,condicion,clase_esperada,mano_detectada,clase_predicha,confianza,comando_emitido
4,normal,3,1,3,99.35882091522217,-1
4,normal,3,1,3,99.45527911186218,-1
4,normal,3,1,3,99.4350016117096,-1
4,normal,3,1,3,99.44731593132019,-1
4,normal,3,1,3,99.47362542152405,-1
4,normal,3,1,3,99.31679368019104,-1
4,normal,3,1,3,99.4361162185669,-1
4,normal,3,1,3,99.35779571533203,-1
4,normal,3,1,3,99.58747029304504,-1
4,normal,3,1,3,99.437016248703,-1
4,normal,3,1,3,99.42464232444763,-1
4,normal,3,1,3,99.437016248703,-1
4,normal,3,1,3,99.42464232444763,-1
4,normal,3,1,3,99.41942095756531,-1
4,normal,3,1,3,99.41942095756531,-1
5,normal,4,1,4,80.29823303222656,-1
5,normal,4,1,4,64.68012928962708,-1
5,normal,4,1,4,87.65820264816284,-1
5,normal,4,1,4,82.5009286403656,-1
5,normal,4,1,4,84.01162624359131,-1
5,normal,4,1,4,87.55868673324585,-1
5,normal,4,1,4,89.90426063537598,4
5,normal,4,1,4,86.8440568447113,-1
5,normal,4,1,4,89.5247220993042,-1
5,normal,4,1,4,89.85170125961304,-1
5,normal,4,1,4,89.5247220993042,-1
5,normal,4,1,4,89.5247220993042,-1
5,normal,4,1,4,84.387868642807,-1
5,normal,4,1,4,84.69751477241516,-1
5,normal,4,1,4,84.69751477241516,-1
5,normal,4,1,4,83.85252952575684,-1
5,normal,4,1,4,86.40283942222595,-1
5,normal,4,1,4,78.90128493309021,-1
5,normal,4,1,4,74.09162521362305,-1
5,normal,4,1,4,84.44541096687317,-1
5,normal,4,1,4,85.54406762123108,-1
5,normal,4,1,4,80.96226453781128,-1
5,normal,4,1,4,85.19273400306702,-1
5,normal,4,1,4,88.59531283378601,-1
5,normal,4,1,4,85.34795641899109,-1
5,normal,4,1,4,79.46590185165405,-1
5,normal,4,1,4,79.0800929069519,-1
5,normal,4,1,4,78.30761075019836,-1
5,normal,4,1,4,75.82247853279114,-1
5,normal,4,1,4,75.89077353477478,-1
5,normal,4,1,4,72.39367365837097,-1
5,normal,4,1,4,77.12689638137817,-1
5,normal,4,1,4,76.16089582443237,-1
5,normal,4,1,4,67.38689541816711,-1
5,normal,4,1,4,63.966333866119385,-1
5,normal,4,1,4,73.65274429321289,-1
5,normal,4,1,4,73.83221387863159,-1
5,normal,4,1,4,73.83221387863159,-1
5,normal,4,1,4,72.38190770149231,-1
5,normal,4,1,4,61.489665508270264,-1
5,normal,4,1,4,77.17670798301697,-1
5,normal,4,1,4,78.37637662887573,-1
5,normal,4,1,4,80.53731918334961,-1
5,normal,4,1,4,70.51734328269958,-1
5,normal,4,1,4,69.89066004753113,-1
5,normal,4,1,4,79.49870824813843,-1
5,normal,4,1,4,79.49870824813843,-1
5,normal,4,1,4,87.73490786552429,-1
5,normal,4,1,4,90.54678082466125,-1
5,normal,4,1,4,78.67645025253296,-1
5,normal,4,1,4,81.25619292259216,-1
5,normal,4,1,4,80.52384853363037,-1
5,normal,4,1,4,79.15205955505371,-1
5,normal,4,1,4,78.9111852645874,-1
5,normal,4,1,4,71.80586457252502,-1
5,normal,4,1,4,71.80586457252502,-1
5,normal,4,1,4,70.82778811454773,-1
5,normal,4,1,4,70.82778811454773,-1
5,normal,4,1,4,70.82778811454773,-1
5,normal,4,1,4,71.30189538002014,-1
5,normal,4,1,4,69.6542739868164,-1
5,normal,4,1,4,68.79400610923767,-1
5,normal,4,1,4,69.4211483001709,-1
5,normal,4,1,4,69.4211483001709,-1
5,normal,4,1,4,69.4211483001709,-1
5,normal,4,1,4,72.07328677177429,-1
5,normal,4,1,4,73.1821358203888,-1
5,normal,4,1,4,76.7018735408783,-1
5,normal,4,1,4,67.1812355518341,-1
5,normal,4,1,4,76.46247148513794,-1
5,normal,4,1,4,69.33585405349731,-1
5,normal,4,1,4,71.73038721084595,-1
5,normal,4,1,4,71.51256799697876,-1
5,normal,4,1,4,74.47214126586914,-1
5,normal,4,1,4,72.72455096244812,-1
5,normal,4,1,4,77.3097574710846,-1
5,normal,4,1,4,72.47809171676636,-1
5,normal,4,1,4,77.61641144752502,-1
